Ru,Rh,Pd,Ir,Pt
20.2,50,4.4,17,8.4
18,49,6.1,18.5,8.4
17.8,46.6,6.8,20.5,8.3
16.5,44.4,8.1,23.1,7.9
16.1,42.9,7.1,25.5,8.4
14.9,39.9,9.1,28.7,7.4
14.2,37.9,10,30.5,7.4
12.6,36.3,10.6,32.9,7.6
12.8,33.1,11.2,35.3,7.6
11.3,31.9,11.1,38.4,7.3
9.8,29.7,12.7,40.9,6.8
21.2,48.4,5.9,15.6,8.9
20,47.4,6.6,17.2,8.8
19.6,46.3,6.6,18.2,9.3
18.5,43.7,7.8,20.6,9.4
17,42.3,8.2,23.1,9.3
16.8,40.3,9.3,24.6,9
15,38.4,10.4,27.3,8.9
14.4,36,10,31,8.5
14.2,33.6,12.1,32.1,8
13,31.3,12.3,35.8,7.6
11.4,29.6,13.4,38.2,7.4
11.2,28.2,13.2,40.3,7
10,26.3,13.4,43.4,6.9
24,47,5.5,13.1,10.4
21.8,46.9,6.3,14.8,10.2
20.8,45,7,16.3,11
20.3,43.9,7.1,18.4,10.4
19.1,41.6,9.2,20.2,9.8
17.9,41,8.9,22.6,9.5
16.9,38.6,9.6,24.9,10
15.5,36.4,10.4,27.6,10.1
15.5,35,10.1,29.8,9.6
13.6,33.1,12.1,32.1,9.2
12.9,31.1,12.9,34.3,8.8
12.6,28.4,13.8,36.4,8.8
11.5,26.1,15.2,39.4,7.8
10.9,24,16.2,41.3,7.6
10,21.6,16.7,44.8,7
25.6,45.9,5,12,11.4
23.9,45.7,5.9,13.2,11.2
23.5,44.4,5.9,14.6,11.7
22.4,42.9,6.9,16.7,11.1
20.8,41.7,7.8,18.5,11.2
20.4,39.8,8.8,20,11.1
18.9,39,8.9,22.4,10.9
17.6,37,10.5,24.5,10.4
16.6,34.5,11.4,27.1,10.5
15.2,33.3,12.2,28.9,10.4
14,30.9,12.6,31.9,10.5
13.2,29.5,13.9,33.4,10
11.9,27.3,14.7,36.1,9.9
11.7,24,16.6,39,8.7
11.1,23.3,16.1,40.6,8.9
10.6,21.1,16.6,43.4,8.2
9.9,19.1,17.7,46,7.2
27.2,44.6,5.4,11.2,11.6
26.1,44.2,6.1,11.7,12
24.8,42.7,6.8,13,12.6
23.6,41.8,7.5,14.3,12.7
22.7,41.1,7.7,16.1,12.5
21.1,38.7,8.8,18.9,12.5
20,37.9,9.9,19.9,12.2
19.1,36.6,9.7,22.2,12.4
17.8,33.2,12,24.2,12.8
16.9,32.7,12.5,26.3,11.7
17,30.5,13,28.6,10.9
14.7,29.4,14.7,30.3,10.9
14.1,27.2,14.2,33.3,11.3
12.5,26.4,15.6,35,10.6
12.2,23.2,16.6,38.4,9.7
11.3,21.9,17.3,40.2,9.3
10.4,19.9,19.4,41.9,8.4
10.3,18.5,19.4,43.5,8.3
8.9,16.7,20.8,45.2,8.3
28.2,41.4,6.3,10.6,13.4
26.1,42.6,6.1,11.7,13.6
25.9,40.8,6.3,13.1,13.9
24.4,39,8.2,14.5,13.8
23.7,38,8.3,15.7,14.3
22.3,36.9,9.2,17.5,14.2
20,36,9.9,19.7,14.4
19.5,34.9,10.4,21.7,13.4
18.4,33.5,11.5,22.8,13.8
17.4,30.8,12.4,26.2,13.2
16.9,29.1,13.2,28.4,12.4
15.2,28.1,13.9,30.1,12.7
14.1,25.3,16.1,32.3,12.2
12.9,23.6,17.2,34.8,11.5
11.6,22.6,17.6,37.4,10.8
10.7,20.5,18.9,39.9,10
10,18.7,20.6,40.7,9.9
9.5,15.7,21.9,43.2,9.7
8.6,15.8,22,44.4,9.1
29.8,40.8,6,9.1,14.2
28.6,39.9,6.4,10.3,14.8
27.5,39.4,6.3,11.1,15.6
26.6,38,7.6,12.6,15.2
25.3,37.6,7.4,13.9,15.7
23.9,35.7,9.4,15.3,15.6
22.4,35.2,10.1,17.5,14.9
21.4,33.9,10,19,15.7
20.7,32.4,10.8,20.7,15.3
19.4,31,12.1,22.9,14.7
17.4,28.3,14.2,25.2,14.8
16.1,26.8,15.4,27.1,14.7
15,26,15.2,29.8,14
13.8,23.5,17.4,31.7,13.6
13,22.6,18.1,33.4,12.9
12.8,20.1,18.4,36.6,12.1
11.2,17.4,20.8,38.3,12.3
11,18.3,20.7,39.1,10.9
9.6,16.4,21.3,41.9,10.8
8.8,14.6,22.7,44.1,9.8
8.5,14,23.7,44.9,8.9
30.5,38.3,6.1,9.1,16
30,38.5,5.3,9.9,16.3
28.4,37.5,6.7,11,16.4
27,35.4,8,12.5,17.2
25.4,35.3,8.9,13.6,16.7
24.4,34,9.4,14.9,17.3
23,32,10.4,16.8,17.7
22,31.9,11.6,18,16.6
21,29.9,12.2,20.4,16.5
18.8,28.9,13.8,22.2,16.3
18.5,26.7,13.9,24.7,16.2
17.1,25.7,15.2,26,16
16.2,24.5,16.7,27.6,15
15.7,22.7,16.9,30.2,14.5
12.8,20.7,19.9,32.1,14.5
13.4,19.3,20.6,33.8,12.9
11.7,18,20.4,36.6,13.3
10.9,15.7,22.6,38.7,12
9.9,15.2,23.6,40.6,10.8
9.8,14.3,24.5,41.4,9.9
9.4,12.1,25.4,43.4,9.8
31.3,36.2,6.1,9.1,17.2
30.1,35.3,6.8,9.7,18.2
28.3,35.2,7.2,11.2,18.1
27.3,33.8,7.3,12.9,18.6
27.1,32.3,8.8,13.7,18.2
25,31.3,10.1,14.6,18.9
24.1,30.4,10.9,15.7,19
22.9,30.6,11.1,17.2,18.2
21.9,28.2,12.1,19.6,18.3
19,26.5,14.5,21.6,18.3
19,25.2,15.1,23.3,17.5
17.1,25.1,15.2,25.2,17.4
16.9,22,17.8,27.1,16.2
15.4,19.9,19.4,29.4,15.9
14.1,18.8,19.9,31.4,15.8
11.8,18.3,21,33.6,15.3
11.9,16.7,22.2,35.1,14.1
10.3,15.7,23.5,37.1,13.3
10.3,13.6,24.4,38.8,13
9.3,13.1,26.7,40.1,10.7
7.4,10.7,26.9,43.9,11.2
31.4,34,6.5,9.5,18.6
30.6,32,8.1,9.8,19.5
28.8,32.6,7.9,10.9,19.9
28.9,30.5,8.2,12.2,20.3
26.9,30.2,9.8,12.9,20.1
24.9,29,10.7,14.6,20.7
24.3,28.9,10.7,15.7,20.3
23.5,26.3,12.6,17.7,19.9
22.2,25.7,13.5,18.9,19.7
21,23.8,13.6,21.3,20.3
18.4,24,16.1,22.2,19.3
17.5,21.9,16.8,24.7,19.2
16.6,20,18.7,26.4,18.4
15,18.3,20.1,28.5,18.1
14,18.9,21.1,28.9,17.1
12.1,16.5,22.5,32.6,16.3
12.3,15.9,23.2,33.5,15.1
10.9,14.1,25.3,35.7,13.9
9.9,12.3,25.9,37.8,14.1
9.2,12.6,26.2,39.4,12.6
8.4,11.4,27.2,41.1,11.8
32.8,31.3,6.7,8.6,20.6
30.2,32.2,6.9,9.3,21.5
29.4,31.6,6.4,10.9,21.7
28.9,28.3,8.8,11.8,22.2
26.9,28.5,10.3,12.6,21.7
25.7,27.1,11.3,13.8,22.2
24.1,26.1,12,15.4,22.5
23.1,24.9,13.5,16.6,21.9
22.5,23.3,14.2,18.5,21.6
20.4,22.5,15.5,19.9,21.7
19.3,21.4,16.4,21.8,21.1
17.8,20.2,18.1,23.6,20.3
16.7,18.7,19.5,25.4,19.8
15.8,16.6,20.5,27.2,19.9
14.1,17.1,22.1,28.3,18.5
12.6,14.6,23.2,31.5,18.1
11.7,14.9,24.3,32.2,16.9
11.1,14,25,34.2,15.8
10.4,11.5,27.4,35.5,15.3
9,12.2,28.1,37.2,13.5
8.3,10.7,29.2,39.5,12.3
32.7,28.4,8,8.7,22.2
31,28.9,8.2,9.3,22.7
30.2,28.1,8,10.6,23.1
28.3,26.9,9.9,11.2,23.6
27.5,26.3,10,12.3,24
26.3,26,10.7,13,24.1
25.3,23.9,11.7,15.1,24
23.7,22.9,13.1,15.6,24.7
22.4,22.2,14.4,17.2,23.8
20.7,21.8,15.7,18.7,23.1
19.8,20.4,16.7,20,23.1
17.8,18,19,22.3,22.9
16.4,17.8,20.4,23.8,21.7
15.2,16.6,21.9,25.6,20.7
14.6,15.7,21.9,27.6,20.2
12.4,14.9,24.1,29.4,19.2
11.4,13.6,25.4,31.4,18.3
11.3,13.4,25.4,32.8,17.1
9.8,10.9,28.1,34.6,16.6
9.7,10.4,28.8,35.5,15.5
9.1,10.3,29.7,37.1,13.8
32.9,27.3,6.8,8.5,24.5
31.9,27,7.8,9.4,24
30.2,26.2,9.1,10.2,24.3
28.5,26.1,9.4,10.8,25.1
28.3,22.9,11.8,11.6,25.5
25.9,24.5,11.1,12.7,25.8
25.3,22.4,12.2,14.2,25.9
24.2,21.6,14.2,14.7,25.3
22,20.1,15.9,16.8,25.2
20.4,19.9,16.1,18.9,24.7
19.2,18.6,17.8,20.4,24
17.9,17.5,19.5,21.6,23.4
16.9,16.2,20.5,22.9,23.5
15.5,15.8,21.2,24.5,23.1
14.3,14,23.8,26.2,21.8
12.7,12.7,26.1,28,20.6
11.6,13.1,26.1,29.9,19.4
10.8,12,27.4,31.6,18.2
10.1,10.2,28.8,33.1,17.8
9.4,9.4,29.5,35.2,16.5
8,8.4,31.4,36.5,15.8
32.1,24.8,7.5,9,26.7
30.7,23.8,9,9.8,26.8
28.5,23.8,10,10.5,27.2
27.6,22.8,10.8,11.6,27.2
26.3,21.5,13,12.4,26.7
25.9,21,13.3,13.6,26.3
23.3,19.5,14.7,15.1,27.3
22.9,17.6,16.8,15.8,26.9
20.5,18.1,17,17.7,26.7
19.1,16.8,18.5,19.2,26.4
17.9,16,20.4,19.8,25.9
17,13.9,22.3,21.9,24.8
14.4,14.6,23.4,23.7,23.9
14.6,12.9,24.1,25.3,23.2
12.8,11.4,26.1,27.3,22.4
11.5,11,26.8,28.5,22.2
11.3,10.9,28,29.8,19.9
9.4,10.2,30.1,31.2,19
9.7,9.8,31.1,32,17.5
31.9,22.6,8.3,8.8,28.4
31.1,22.1,9.1,9.4,28.3
29.3,20.6,10.3,10.3,29.5
27.5,19.9,11.7,11.5,29.4
26.7,19.8,12.5,12.1,28.9
25.3,19.5,13.8,12.7,28.7
24,17.9,14.9,14.1,29.1
22.1,17,16,15.8,29.1
21,16.3,17.7,16.8,28.3
18.9,15.3,20,18.3,27.4
18.5,14.7,20.4,19,27.4
17.1,12.6,22.4,21.2,26.7
15.5,12.8,23.6,22.7,25.5
14.3,11.4,25.1,24.3,24.9
13.5,10.7,26.6,25.7,23.5
12,9.9,28,27.4,22.7
10.6,9.1,30.3,27.9,22.2
10.2,8.3,31.2,29.8,20.5
8.5,7.8,33,31.3,19.4
30.8,19.1,10,9.5,30.6
29.8,19.6,10.7,9.9,30
27.7,18.8,12.1,10.8,30.7
26.9,18.2,12.8,11.2,30.9
25.6,17.1,14,12.7,30.6
23.9,16.4,16.1,13.5,30.1
22.9,15.9,16.4,14.8,30
20.2,14.8,19.3,16.1,29.5
18.7,14.5,19.8,17.3,29.8
19,13.8,20.7,18.2,28.4
17.1,12.8,22.5,19.7,28
14.3,12.1,24.7,21.5,27.4
13.9,10.9,26.5,22.4,26.4
12.2,9.8,28.8,23.7,25.5
12.2,9.7,28.9,25.1,24.1
11.1,8.7,30.3,26.6,23.3
10.2,8.2,31.1,28.3,22.2
29.3,17.4,11.6,9.8,31.9
27.8,17.9,11.8,9.9,32.5
26.5,16.9,13.4,11.5,31.7
25.2,16,14.4,12.4,32
24.6,15.4,15.9,12.4,31.7
22.5,13.7,18.6,13.8,31.5
21,14.3,18.3,15.1,31.4
19.5,12.5,21.1,16.6,30.2
18.2,11.7,22,18,30.1
15.9,11.1,24.1,19.2,29.7
14.8,10.7,26.3,20,28.3
13.1,10.8,26.9,21.2,28
12.2,10.1,28.7,22.3,26.8
12.1,8.6,29.2,23.9,26.2
11.4,8.6,30.9,25,24.3
28,16,12.4,10.2,33.5
26.2,14.6,14.2,10.7,34.2
25.4,13.3,14.9,12,34.5
23.1,13.9,16.9,13,33.1
21.2,13.7,18.8,13.4,32.9
20.8,12.1,19.8,14.3,32.9
19,12.4,21.3,15.4,31.8
17.6,11.1,21.9,17.3,32.1
15.8,10.4,24.4,18.4,31
14.8,9.7,26.6,18.7,30.3
13.5,8.4,27.8,20.7,29.5
12.3,9,29,21.3,28.5
11.5,7.3,30.9,22.7,27.6
25.7,13.4,14.9,10,36
25.4,13.2,15.4,11.3,34.7
23.3,12.5,16.9,12,35.3
22.3,11.8,17.9,13,35.1
21,11.4,19.6,13.7,34.3
19.3,10.4,21.4,15,33.9
17,9.3,24.6,16.1,33
15.6,10.3,24.9,16.8,32.4
14.3,9,26.5,17.9,32.3
13.7,8.7,28.3,19.1,30.3
12.8,8.8,29.5,20,28.9
23.5,10.6,17.7,11.8,36.4
22.1,10.7,18.9,11.9,36.5
20.5,10.4,20.4,13.6,35.1
18,10.2,22.5,14,35.3
17.6,10,24.1,14.2,34.1
15.6,8.9,25.1,16,34.4
14.5,9.2,27,16.9,32.4
